ticker,option_type_std,moneyness_label,market_price,bin_price,tri_price,bs_price,bin_abs_err,tri_abs_err,bs_abs_err,bin_pct_err,tri_pct_err,bin_eep,tri_eep,n_contracts
AAPL,call,ATM,10.04,7.0476,7.2422,7.0434,2.9924,2.7978,2.9966,-35.5774,-33.7785,0.005,0.1991,9
AAPL,call,ITM,2.3281,0.0002,0.0001,0.0002,2.3279,2.328,2.3279,-99.9938,-99.9961,0.0,0.0,21
AAPL,call,OTM,27.0206,24.6317,25.0322,24.6329,2.3889,1.9884,2.3877,-9.0446,-7.4686,0.0005,0.3993,17
AAPL,put,ATM,7.8567,4.9017,4.7526,4.8632,2.9549,3.1041,2.9935,-45.1934,-46.8631,0.0385,0.0,9
AAPL,put,ITM,2.1989,0.0001,0.0001,0.0001,2.1988,2.1988,2.1988,-99.9954,-99.9946,0.0,0.0,18
AAPL,put,OTM,21.887,20.6073,20.444,20.3737,1.6076,1.7096,1.7862,-5.1249,-6.1987,0.2337,0.1385,10
JPM,call,ATM,9.5458,7.0369,7.3146,7.0341,2.5089,2.2312,2.5117,-35.6696,-33.1044,0.003,0.2805,12
JPM,call,ITM,1.5135,0.0001,0.0001,0.0001,1.5134,1.5135,1.5134,-99.9852,-99.9856,0.0,0.0,17
JPM,call,OTM,28.0357,28.169,28.7073,28.1693,1.2536,1.3386,1.2528,0.7312,2.8529,0.0005,0.538,14
JPM,put,ATM,7.582,5.3204,5.1271,5.2988,2.3198,2.4549,2.3243,-38.1042,-40.4416,0.0216,0.0,10
JPM,put,ITM,1.5135,0.0,0.0,0.0,1.5135,1.5135,1.5135,-99.9961,-99.9957,0.0,0.0,17
JPM,put,OTM,27.865,24.2976,24.0724,24.1379,3.5674,3.7926,3.7271,-13.955,-15.0678,0.1596,0.0846,8
MSFT,call,ATM,12.7253,7.6218,7.9097,7.6179,5.1035,4.8156,5.1074,-49.5001,-47.5933,0.0045,0.2919,15
MSFT,call,ITM,3.7236,0.0001,0.0,0.0001,3.7236,3.7236,3.7236,-99.9974,-99.9978,0.0,0.0,22
MSFT,call,OTM,34.56,32.5503,33.3192,32.5507,3.6597,3.4309,3.6605,-4.8741,-2.4915,0.0019,0.7684,23
MSFT,put,ATM,14.0267,10.4868,10.1321,10.4196,3.5399,3.8945,3.6071,-31.6507,-34.0265,0.0672,0.0,15
MSFT,put,ITM,3.4971,0.0,0.0001,0.0,3.497,3.497,3.497,-99.9974,-99.9969,0.0,0.0,24
MSFT,put,OTM,35.9119,33.8146,33.4371,33.501,4.4627,4.7163,4.5836,-5.6148,-6.7846,0.3137,0.0816,21
NVDA,call,ATM,10.4689,5.8797,6.3226,5.8787,4.5891,4.1463,4.5902,-50.1049,-46.3428,0.0018,0.4441,9
NVDA,call,ITM,4.1975,0.0001,0.0001,0.0001,4.1974,4.1974,4.1974,-99.9968,-99.9976,0.0,0.0,12
NVDA,call,OTM,24.276,21.5322,22.5511,21.5325,2.7438,1.7249,2.7435,-12.1163,-7.7875,0.0013,1.0185,15
NVDA,put,ATM,9.94,5.8844,5.5306,5.8532,4.0556,4.4094,4.0868,-47.3972,-50.5761,0.0312,0.0,9
NVDA,put,ITM,3.4153,0.0001,0.0001,0.0001,3.4153,3.4152,3.4153,-99.9976,-99.9971,0.0,0.0,15
NVDA,put,OTM,20.7508,19.6738,19.137,19.5273,1.0771,1.6138,1.2235,-6.0883,-8.8208,0.1464,0.0,12
TSLA,call,ATM,17.4975,15.9563,18.2319,15.9494,5.4888,7.7644,5.4819,-14.3547,-2.2194,0.0087,2.2825,12
TSLA,call,ITM,7.4267,0.0001,0.0001,0.0001,7.4265,7.4266,7.4265,-99.9982,-99.9988,0.0,0.0,24
TSLA,call,OTM,36.6633,38.3251,42.4714,38.3193,1.7983,5.808,1.7949,5.0602,16.6777,0.0079,4.1521,24
TSLA,put,ATM,16.8608,15.969,14.3081,15.9057,5.7582,4.0972,5.6949,-11.4061,-20.6178,0.0633,0.0,12
TSLA,put,ITM,6.3175,0.0,0.0001,0.0,6.3175,6.3174,6.3175,-99.9993,-99.9989,0.0,0.0,24
TSLA,put,OTM,39.4317,39.4582,36.9049,39.2818,3.3408,3.3434,3.3156,2.5938,-4.4049,0.1764,0.0,24
